,B_mature|Naive,B_mature|Memory_switched,B_mature|Memory_unswitched,B_mature|Memory_atypical,B_mature|HSP,B_mature|ISG,B_mature|CCL4,B_mature|GBP,B_mature|EGR,Cancer_Tissue,Cancer_Type
2022_Perez_Science_SLE|dmx_YS-JY-22_pool5,0.8529892785753226,0.0908595311648192,0.013628929674722878,0.042522260585135384,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Pelka_Cell_CRC|C152_T_0_0_0_c1_v2,0.7078651685393258,0.02247191011235955,0.2696629213483146,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,CRC
2021_Ren_Cell_COVID|S-S024,0.08695652173913043,0.20579710144927535,0.7072463768115942,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Hao_Cell_Blood|P5_3,0.5976372480889507,0.3071577484364142,0.08895066018068103,0.006254343293954135,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Ren_Cell_COVID|S-S046,0.0,0.0,0.017857142857142856,0.04017857142857143,0.0,0.9419642857142857,0.0,0.0,0.0,Non-malignant disease,
2020_Adams_SciAdv_IPF|174I-a,0.6023255813953489,0.17906976744186046,0.2186046511627907,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2022_Kumar_CancerDis_Gastric|GSM5573466_sample1,0.0,0.0,0.23157894736842105,0.0,0.7684210526315789,0.0,0.0,0.0,0.0,Cancer_AdjNorm,GC
2022_Dominguez-Conde_Science_CellTypist|Pan_T7917824,0.33602150537634407,0.3629032258064516,0.23655913978494625,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,Control,
2023_Terekhova_Immunity_PBMC|T04,0.8723404255319149,0.10638297872340426,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2020_Adams_SciAdv_IPF|235CO,0.25333333333333335,0.13333333333333333,0.5666666666666667,0.013333333333333334,0.0,0.0,0.03333333333333333,0.0,0.0,Non-malignant disease,
2022_Dominguez-Conde_Science_CellTypist|Pan_T8986828,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2023_Terekhova_Immunity_PBMC|FK04,0.7073170731707317,0.20209059233449478,0.09059233449477352,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2021_Elmentaite_Nature_Intestine|4918STDY7982702,0.2543352601156069,0.1791907514450867,0.5664739884393064,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2023_Terekhova_Immunity_PBMC|C04,0.7309417040358744,0.16143497757847533,0.10762331838565023,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2023_Hirz_NatComm_Prostate|GSM5494345_HP4,0.0,0.0,0.99609375,0.0,0.0,0.0,0.0,0.0,0.00390625,Control,
2022_TabulaSapiens_Science_TabulaSapiens|TSP7_Blood_nan_10X,0.8295331161780674,0.16395222584147665,0.006514657980456026,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2021_Ren_Cell_COVID|S-S070-2,0.7644683714670256,0.04441453566621804,0.1911170928667564,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Szabo_Immunity_COVID19|COV027_blood_1days,0.5046728971962616,0.4485981308411215,0.04672897196261682,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Chan_CancerCell_SCLC|RU701,0.027777777777777776,0.6759259259259259,0.14814814814814814,0.0,0.14814814814814814,0.0,0.0,0.0,0.0,Cancer_Metastasis,NSCLC
2022_TabulaSapiens_Science_TabulaSapiens|TSP14_Spleen_nan_10X,0.04332129963898917,0.15265600825167613,0.77720474471377,0.026817947395564725,0.0,0.0,0.0,0.0,0.0,Control,
2023_Terekhova_Immunity_PBMC|L13,0.732824427480916,0.26717557251908397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2021_Wu_NatGenet_Breast|CID3921,0.0,0.02727272727272727,0.509090909090909,0.0,0.41818181818181815,0.0,0.03636363636363636,0.0,0.00909090909090909,Cancer_Tumor,BRCA
2021_Stephenson_NatMed_COVID19|MH9143324,0.8159509202453987,0.07975460122699386,0.10429447852760736,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Stephenson_NatMed_COVID19|BGCV10_CV0939,0.8253968253968254,0.07142857142857142,0.10317460317460317,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2021_Stephenson_NatMed_COVID19|MH8919326,0.6278195488721805,0.03007518796992481,0.13909774436090225,0.0,0.0,0.20300751879699247,0.0,0.0,0.0,Non-malignant disease,
