,B_mature|Naive,B_mature|Memory_switched,B_mature|Memory_unswitched,B_mature|Memory_atypical,B_mature|HSP,B_mature|ISG,B_mature|CCL4,B_mature|GBP,B_mature|EGR,Cancer_Tissue,Cancer_Type
2021_Stephenson_NatMed_COVID19|BGCV05_CV0128,0.7251655629139073,0.046357615894039736,0.22847682119205298,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2022_Dominguez-Conde_Science_CellTypist|Pan_T7991590,0.07368421052631578,0.14736842105263157,0.5789473684210527,0.05263157894736842,0.05263157894736842,0.042105263157894736,0.0,0.0,0.05263157894736842,Control,
2021_Stephenson_NatMed_COVID19|BGCV02_CV0052,0.4564102564102564,0.23076923076923078,0.06666666666666667,0.11282051282051282,0.0,0.13333333333333333,0.0,0.0,0.0,Non-malignant disease,
2022_Perez_Science_SLE|dmx_flare1,0.8157894736842105,0.12938596491228072,0.0206140350877193,0.02324561403508772,0.0,0.010964912280701754,0.0,0.0,0.0,Non-malignant disease,
2021_Wu_NatGenet_Breast|CID4471,0.31666666666666665,0.0,0.6,0.0,0.016666666666666666,0.0,0.03333333333333333,0.0,0.03333333333333333,Cancer_Tumor,BRCA
2021_Chan_CancerCell_SCLC|RU1262C,0.05161290322580645,0.2645161290322581,0.632258064516129,0.0,0.01935483870967742,0.0,0.01935483870967742,0.0,0.012903225806451613,Cancer_Tumor,NSCLC
2023_Terekhova_Immunity_PBMC|M24,0.480225988700565,0.4576271186440678,0.062146892655367235,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2021_Ren_Cell_COVID|S-HC014,0.5924006908462867,0.3333333333333333,0.024179620034542316,0.05008635578583765,0.0,0.0,0.0,0.0,0.0,Control,
2021_Ren_Cell_COVID|S-M044-2,0.6880952380952381,0.18571428571428572,0.05714285714285714,0.05238095238095238,0.0,0.016666666666666666,0.0,0.0,0.0,Non-malignant disease,
2021_Ren_Cell_COVID|S-M055,0.4108527131782946,0.3682170542635659,0.17054263565891473,0.04263565891472868,0.0,0.007751937984496124,0.0,0.0,0.0,Non-malignant disease,
2023_Terekhova_Immunity_PBMC|G29,0.7201492537313433,0.22761194029850745,0.05223880597014925,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2023_Kumar_Nature_Breast|hbca_c57,0.7364152473641524,0.0,0.18572587185725872,0.0,0.07785888077858881,0.0,0.0,0.0,0.0,Control,
2021_Stephenson_NatMed_COVID19|MH9143421,0.8278008298755186,0.05394190871369295,0.022821576763485476,0.07676348547717843,0.0,0.01867219917012448,0.0,0.0,0.0,Non-malignant disease,
2021_Stephenson_NatMed_COVID19|BGCV14_CV0050,0.37267080745341613,0.08074534161490683,0.546583850931677,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2023_Terekhova_Immunity_PBMC|A08,0.7189542483660131,0.08823529411764706,0.19281045751633988,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2023_Terekhova_Immunity_PBMC|N18,0.5971731448763251,0.29328621908127206,0.10954063604240283,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2020_Adams_SciAdv_IPF|212I-a,0.1889763779527559,0.3858267716535433,0.4094488188976378,0.015748031496062992,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2023_Kong_Immunity_CD|I130084_E,0.6710526315789473,0.14035087719298245,0.17543859649122806,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,Non-malignant disease,
2023_Terekhova_Immunity_PBMC|C09,0.7607655502392344,0.23923444976076555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2023_Terekhova_Immunity_PBMC|C15,0.8657534246575342,0.13424657534246576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2023_Terekhova_Immunity_PBMC|FB06,0.2857142857142857,0.6285714285714286,0.05714285714285714,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,Control,
2023_Terekhova_Immunity_PBMC|E16,0.5905511811023622,0.13385826771653545,0.2677165354330709,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,Control,
2021_Stephenson_NatMed_COVID19|MH8919231,0.5912162162162162,0.14189189189189189,0.07432432432432433,0.19256756756756757,0.0,0.0,0.0,0.0,0.0,Control,
2022_TabulaSapiens_Science_TabulaSapiens|TSP2_Lymph_Node_nan_smartseq2,0.5652173913043478,0.24456521739130435,0.14130434782608695,0.016304347826086956,0.03260869565217391,0.0,0.0,0.0,0.0,Control,
2021_Ren_Cell_COVID|S-S086-2,0.5967078189300411,0.23251028806584362,0.1440329218106996,0.026748971193415638,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Ren_Cell_COVID|S-S021-2,0.6840992116900596,0.22457219765429726,0.06287252451451644,0.015573928090751778,0.0,0.012882138050374928,0.0,0.0,0.0,Non-malignant disease,
2023_Terekhova_Immunity_PBMC|E21,0.3989071038251366,0.40437158469945356,0.10382513661202186,0.09289617486338798,0.0,0.0,0.0,0.0,0.0,Control,
2023_Terekhova_Immunity_PBMC|P13,0.576,0.28,0.144,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2023_Kong_Immunity_CD|I175041_N2,0.6306306306306306,0.0,0.32432432432432434,0.0,0.0,0.0,0.04504504504504504,0.0,0.0,Non-malignant disease,
2023_Terekhova_Immunity_PBMC|G24,0.4083769633507853,0.5026178010471204,0.041884816753926704,0.04712041884816754,0.0,0.0,0.0,0.0,0.0,Control,
2023_Wang_SciAdv_CRC|s0115_Colon_AdjNorm,0.3980263157894737,0.029605263157894735,0.5723684210526315,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_AdjNorm,CRC
2023_Terekhova_Immunity_PBMC|M15,0.4050632911392405,0.5569620253164557,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,0.02531645569620253,Control,
2023_Wang_SciAdv_CRC|s1231_Liver_AdjNorm,0.5740740740740741,0.0,0.05555555555555555,0.07407407407407407,0.2037037037037037,0.0,0.09259259259259259,0.0,0.0,Cancer_AdjNorm,CRC
2021_Stephenson_NatMed_COVID19|BGCV02_CV0059,0.7767857142857143,0.08928571428571429,0.13392857142857142,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Stephenson_NatMed_COVID19|BGCV01_CV0144,0.7238095238095238,0.17142857142857143,0.10476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2022_TabulaSapiens_Science_TabulaSapiens|TSP2_Lymph_Node_nan_10X,0.35692401960784315,0.4736519607843137,0.03676470588235294,0.0,0.1326593137254902,0.0,0.0,0.0,0.0,Control,
2022_TabulaSapiens_Science_TabulaSapiens|TSP14_Small_Intestine_Distal_10X,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2023_Terekhova_Immunity_PBMC|D02,0.20240963855421687,0.37349397590361444,0.42409638554216866,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2021_Ren_Cell_COVID|S-S042,0.5917030567685589,0.06768558951965066,0.24890829694323144,0.03711790393013101,0.0,0.0,0.0,0.0,0.05458515283842795,Non-malignant disease,
2023_Terekhova_Immunity_PBMC|D22,0.10762331838565023,0.6098654708520179,0.17040358744394618,0.11210762331838565,0.0,0.0,0.0,0.0,0.0,Control,
2021_Szabo_Immunity_COVID19|COV026_blood_4days,0.13675213675213677,0.5384615384615384,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.017094017094017096,Non-malignant disease,
2023_Terekhova_Immunity_PBMC|N04,0.5631067961165048,0.3592233009708738,0.07766990291262135,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2021_Stephenson_NatMed_COVID19|BGCV10_CV0160,0.9732824427480916,0.026717557251908396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2020_Adams_SciAdv_IPF|041I-b,0.2037037037037037,0.3425925925925926,0.4444444444444444,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,Non-malignant disease,
2021_Pelka_Cell_CRC|C123_N_1_1_0_c1_v2,0.3253012048192771,0.21084337349397592,0.463855421686747,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2023_Terekhova_Immunity_PBMC|FA05,0.5563636363636364,0.4254545454545455,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2023_Terekhova_Immunity_PBMC|N17,0.1518987341772152,0.5443037974683544,0.24050632911392406,0.0379746835443038,0.0,0.0,0.0,0.0,0.02531645569620253,Control,
2021_Ren_Cell_COVID|S-S062,0.6403508771929824,0.14912280701754385,0.14035087719298245,0.07017543859649122,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2022_Kumar_CancerDis_Gastric|GSM5573473_sample8,0.08695652173913043,0.20108695652173914,0.5489130434782609,0.0,0.13043478260869565,0.0,0.0,0.0,0.03260869565217391,Cancer_Tumor,GC
2020_Adams_SciAdv_IPF|23CO,0.1568627450980392,0.5490196078431373,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2020_Park_Science_Thymus|T07_TH_TOT_1_S1,0.0,0.0,0.030303030303030304,0.0,0.7878787878787878,0.18181818181818182,0.0,0.0,0.0,Control,
2023_Terekhova_Immunity_PBMC|M13,0.28378378378378377,0.2635135135135135,0.40540540540540543,0.0,0.0,0.013513513513513514,0.0,0.0,0.033783783783783786,Control,
2023_Terekhova_Immunity_PBMC|T15,0.48253968253968255,0.44761904761904764,0.0,0.06984126984126984,0.0,0.0,0.0,0.0,0.0,Control,
2023_Kong_Immunity_CD|N127643_L,0.06666666666666667,0.25,0.43333333333333335,0.016666666666666666,0.1,0.0,0.0,0.13333333333333333,0.0,Non-malignant disease,
2022_Dominguez-Conde_Science_CellTypist|CZI-IA10466284+CZI-IA10466380,0.4402332361516035,0.0,0.39552964042759964,0.0,0.16423712342079688,0.0,0.0,0.0,0.0,Control,
2023_Terekhova_Immunity_PBMC|A03,0.5215419501133787,0.35827664399092973,0.07482993197278912,0.045351473922902494,0.0,0.0,0.0,0.0,0.0,Control,
2023_Kumar_Nature_Breast|hbca_c143,0.15789473684210525,0.12280701754385964,0.6491228070175439,0.0,0.07017543859649122,0.0,0.0,0.0,0.0,Control,
2022_Dominguez-Conde_Science_CellTypist|Pan_T7980364,0.18518518518518517,0.0,0.03397612488521579,0.018977655341291706,0.7618610345883073,0.0,0.0,0.0,0.0,Control,
2023_Terekhova_Immunity_PBMC|A27,0.6357388316151202,0.30927835051546393,0.054982817869415807,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2023_Terekhova_Immunity_PBMC|FE04,0.5962732919254659,0.35403726708074534,0.049689440993788817,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2022_Kumar_CancerDis_Gastric|GSM5573482_sample17,0.08227848101265822,0.056962025316455694,0.10759493670886076,0.0,0.6645569620253164,0.0,0.08860759493670886,0.0,0.0,Cancer_Tumor,GC
2023_Terekhova_Immunity_PBMC|E20,0.6416666666666667,0.3333333333333333,0.0,0.025,0.0,0.0,0.0,0.0,0.0,Control,
2021_Szabo_Immunity_COVID19|COV026_blood_7days,0.11888111888111888,0.4125874125874126,0.21212121212121213,0.2564102564102564,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2022_Dominguez-Conde_Science_CellTypist|CZINY-0050,0.44715447154471544,0.2601626016260163,0.2926829268292683,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2021_Pelka_Cell_CRC|C116_T_0_2_2_c1_v2,0.3148148148148148,0.2777777777777778,0.3333333333333333,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,Cancer_Tumor,CRC
2023_Terekhova_Immunity_PBMC|M31,0.5084745762711864,0.2966101694915254,0.1440677966101695,0.03389830508474576,0.0,0.0,0.0,0.0,0.01694915254237288,Control,
2021_Pelka_Cell_CRC|C170_T_0_0_1_c1_v3,0.6883116883116883,0.0,0.2597402597402597,0.0,0.012987012987012988,0.025974025974025976,0.0,0.0,0.012987012987012988,Cancer_Tumor,CRC
2021_Ren_Cell_COVID|S-M023,0.2175226586102719,0.4773413897280967,0.1661631419939577,0.09063444108761329,0.0,0.04833836858006042,0.0,0.0,0.0,Non-malignant disease,
2022_Dominguez-Conde_Science_CellTypist|Pan_T8010330,0.46321177223288545,0.11900191938579655,0.417786308381318,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2021_Stephenson_NatMed_COVID19|MH8919331,0.6724137931034483,0.1206896551724138,0.13793103448275862,0.0603448275862069,0.0,0.008620689655172414,0.0,0.0,0.0,Non-malignant disease,
2023_Terekhova_Immunity_PBMC|L15,0.7518248175182481,0.13138686131386862,0.029197080291970802,0.08759124087591241,0.0,0.0,0.0,0.0,0.0,Control,
2020_Adams_SciAdv_IPF|49I-b,0.27906976744186046,0.2248062015503876,0.4108527131782946,0.0,0.08527131782945736,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Ren_Cell_COVID|S-S072-2,0.6666666666666666,0.08,0.06666666666666667,0.08,0.013333333333333334,0.08,0.013333333333333334,0.0,0.0,Non-malignant disease,
2021_Ren_Cell_COVID|S-M078,0.47468354430379744,0.4911392405063291,0.03417721518987342,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Pelka_Cell_CRC|C153_T_1_1_0_c1_v2,0.49122807017543857,0.19298245614035087,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,CRC
2023_Kong_Immunity_CD|N119540_E1,0.2692307692307692,0.1794871794871795,0.5384615384615384,0.0,0.0,0.0,0.0,0.01282051282051282,0.0,Non-malignant disease,
2023_Kumar_Nature_Breast|hbca_c70,0.03333333333333333,0.15,0.7,0.0,0.11666666666666667,0.0,0.0,0.0,0.0,Control,
2021_Ren_Cell_COVID|S-M043-1,0.3880597014925373,0.36318407960199006,0.1691542288557214,0.0,0.0,0.07960199004975124,0.0,0.0,0.0,Non-malignant disease,
2023_Terekhova_Immunity_PBMC|FJ02,0.3106060606060606,0.5757575757575758,0.11363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2021_Ren_Cell_COVID|S-S075-1,0.8564527260179434,0.004140786749482402,0.13940648723257418,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2023_Terekhova_Immunity_PBMC|G33,0.532608695652174,0.40942028985507245,0.057971014492753624,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2023_Monavarfeshani_PNAS_Eye|Hu218ODMacularRPE,0.07272727272727272,0.7090909090909091,0.21818181818181817,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2020_Adams_SciAdv_IPF|192CO-b,0.0,0.5483870967741935,0.41935483870967744,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Pelka_Cell_CRC|C124_N_0_3_1_c1_v2,0.0,0.45614035087719296,0.5263157894736842,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,Control,
2023_Terekhova_Immunity_PBMC|L07,0.7663551401869159,0.2336448598130841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2021_Pelka_Cell_CRC|C123_N_1_1_1_c1_v2,0.45098039215686275,0.10784313725490197,0.4411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2023_Hirz_NatComm_Prostate|GSM5494351_SCG-PCA3-N-LG,0.0,0.34523809523809523,0.6071428571428571,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,Cancer_AdjNorm,PRC
2023_Terekhova_Immunity_PBMC|A37,0.7037037037037037,0.21164021164021163,0.0582010582010582,0.026455026455026454,0.0,0.0,0.0,0.0,0.0,Control,
2023_Kumar_Nature_Breast|hbca_c137,0.727810650887574,0.0,0.2485207100591716,0.0,0.01775147928994083,0.0,0.0,0.0,0.005917159763313609,Control,
2021_Ren_Cell_COVID|S-M052,0.497737556561086,0.24660633484162897,0.2239819004524887,0.03167420814479638,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2023_Kong_Immunity_CD|I134300_L,0.31666666666666665,0.05,0.5666666666666667,0.0,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,Non-malignant disease,
2021_Stephenson_NatMed_COVID19|BGCV06_CV0234,0.841642228739003,0.04398826979472141,0.07331378299120235,0.03812316715542522,0.0,0.0,0.0,0.0,0.002932551319648094,Non-malignant disease,
2023_Terekhova_Immunity_PBMC|E19,0.052845528455284556,0.6666666666666666,0.2804878048780488,0.0,0.0,0.0,0.0,0.0,0.0,Control,
2021_Stephenson_NatMed_COVID19|MH8919233,0.6844919786096256,0.21390374331550802,0.06951871657754011,0.03208556149732621,0.0,0.0,0.0,0.0,0.0,Control,
2020_Adams_SciAdv_IPF|210CO,0.8721804511278195,0.11278195488721804,0.015037593984962405,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Stephenson_NatMed_COVID19|BGCV13_CV0934,0.5930735930735931,0.23376623376623376,0.16883116883116883,0.004329004329004329,0.0,0.0,0.0,0.0,0.0,Control,
2023_Terekhova_Immunity_PBMC|A02,0.6104651162790697,0.3430232558139535,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,Control,
