,Fibroblast|IL6,Fibroblast|HSP,Fibroblast|Universal,Fibroblast|KLK1,Fibroblast|LRRC15,Fibroblast|IL24,Fibroblast|CST2,Fibroblast|Alveolar,Fibroblast|CLDN1,Fibroblast|GREM2,Fibroblast|Corneal,Fibroblast|COX15,Fibroblast|CD36,Fibroblast|CCL19,Fibroblast|ISG,Fibroblast|Chondrocyte,Fibroblast|Dermal-sheath,Fibroblast|SYT1,Fibroblast|COCH,Fibroblast|ITGB8,Fibroblast|CLEC14A,Fibroblast|Satellite,Fibroblast|NRG1,Fibroblast|ADAMDEC1,Cancer_Tissue,Cancer_Type
2020_Drokhlyansky_Cell_EntericNerve|H10_S54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140625,0.0,0.0,0.0,Cancer_AdjNorm,CRC
2022_Reichart_Science_Heart|BO_H24_RV0_premrna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6954128440366972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30458715596330277,0.0,0.0,0.0,Non-malignant disease,
2020_Drokhlyansky_Cell_EntericNerve|H1_S6,0.0,0.0,0.09615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9038461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_AdjNorm,CRC
2021_Elmentaite_Nature_Intestine|4918STDY7982703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.8333333333333334,Non-malignant disease,
2020_Litvinukova_Nature_Heart|HCAHeartST10773168,0.0,0.0,0.4023756495916852,0.0,0.0,0.0,0.0,0.07052709725315516,0.0,0.0,0.0,0.0,0.03192279138827023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4951744617668894,0.0,0.0,0.0,Control,
2020_Litvinukova_Nature_Heart|HCAHeart7833854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.696078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30392156862745096,0.0,0.0,0.0,Control,
2023_Lake_Nature_Kidney|KB4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
2021_Garcia-Alonso_NatGenet_Endometrial|MRC_Endo8712024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Control,
2023_Kumar_Nature_Breast|hbca_c29,0.0,0.0,0.9412698412698413,0.05317460317460317,0.0,0.0,0.0,0.0,0.0,0.0,0.0007936507936507937,0.0,0.004761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,BRCA
2022_Emont_Nature_WAT|Hs_SAT_SVF_242-2B-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
