,Ductal,Fibroblast,Endothelial,Mural,Plasma,T&NK,B_GC,Dendritic_plasmacytoid,Macrophage,Monocyte,B_mature,Dendritic_classical,Platelet,Hematopoietic,Squamous,Mast&Basophil,Hepatocyte,Neuron_excitatory,Astrocyte,Oligodendrocyte_mature,Neuron_inhibitory,Oligodendrocyte_progenitor,Erythroid,Neutrophil,Melanocyte,Schwann,B_progenitor,Ciliated,Muller,Rod,Neuron_bipolar,Spermatocyte,Organ
2022_Gur_Cell_Sceleroderma|GSM5837393_AB7700,0.0,0.6015831134564644,0.0,0.055408970976253295,0.34300791556728233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Skin
Zhang2022|hsDG13HC,0.0,0.0018912529550827422,0.009929078014184398,0.0037825059101654845,0.0,0.0,0.0,0.0,0.031205673758865248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24657210401891252,0.23167848699763594,0.2044917257683215,0.1706855791962175,0.09976359338061466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brain
2022_Madissoon_NatGenet_Lung|WSSS8015046,0.002051158301158301,0.00024131274131274132,0.00012065637065637066,0.0,0.00048262548262548264,0.08856177606177607,0.00036196911196911195,0.0009652509652509653,0.7507239382239382,0.1299469111969112,0.01278957528957529,0.011341698841698842,0.0,0.00012065637065637066,0.0,0.0019305019305019305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036196911196911195,0.0,0.0,0.0,0.0,Lung
ROSMAP|201028-B62-B_NYGC_S2,0.0,0.0,0.005430355688297583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7825142546836817,0.053624762421938636,0.024436600597339125,0.13399402660874288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brain
2022_TabulaSapiens_Science_TabulaSapiens|TSP2_Small_Intestine_proximal_10X,0.8418940609951846,0.019261637239165328,0.023274478330658106,0.0,0.0,0.06420545746388442,0.0,0.0,0.0,0.0,0.051364365971107544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Intestine
2022_Madissoon_NatGenet_Lung|HCA_A_LNG9387716,0.45123839009287925,0.16692466460268318,0.05624355005159959,0.017543859649122806,0.014705882352941176,0.20614035087719298,0.00025799793601651185,0.0,0.03740970072239422,0.011609907120743035,0.013415892672858616,0.0028379772961816306,0.0,0.0,0.0041279669762641896,0.010061919504643963,0.0,0.0,0.0,0.00025799793601651185,0.0,0.0,0.0,0.0,0.0,0.00025799793601651185,0.0,0.00696594427244582,0.0,0.0,0.0,0.0,Lung
2023_Kong_Immunity_CD|N11_Epi_B,0.9497929606625258,0.0,0.0,0.0,0.0,0.04710144927536232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003105590062111801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Intestine
2023_Terekhova_Immunity_PBMC|J15,0.0,0.0,0.0,0.0,0.0,0.863558282208589,0.0,0.00392638036809816,0.0,0.08392638036809816,0.048588957055214724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blood
2023_Kong_Immunity_CD|N10_LP_B,0.013182355923609938,0.16275139428764576,0.027040730099712692,0.00895724184552983,0.2920398850768971,0.29187088051377386,0.0,0.0,0.08298124049349333,0.0,0.005408146019942538,0.024674666215987833,0.0,0.0,0.0,0.053743451073178974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03735000845022816,0.0,0.0,0.0,0.0,0.0,0.0,Intestine
ROSMAP|200702-B29-A_NYGC_S1,0.0,0.0,0.008147096195530308,0.0,0.0,0.0,0.0,0.0,0.011062112265490694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5116974362807385,0.13147469915539278,0.16129755587114133,0.13902384333657225,0.03729725689513416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brain
