,PANGEA_annotation,SEN,PPV,CFS,score
Myoepithelial@Wu_2021_Cancer|BRCA,Squamous|Myoepithelial,0.9908925318761385,0.9927007299270073,0.9312713148719352,0.9711963483556716
Myoepithelial@Wu_2021_Cancer|BRCA,Squamous|Myoepithelial,0.9908925318761385,0.9927007299270073,0.9312713148719352,0.9711963483556716
eye photoreceptor cell@TabulaSapiens_2022_Multiple,Rod,0.9955106621773289,0.9201244813278008,0.9999999988080654,0.9711750137334635
Plasmablasts@Wu_2021_Cancer|BRCA,Plasma,0.9886492622020431,0.9241379310344827,0.9999556512196816,0.9703310467121402
Plasmablasts@Wu_2021_Cancer|BRCA,Plasma,0.9886492622020431,0.9241379310344827,0.9999556512196816,0.9703310467121402
plasma cell@TabulaSapiens_2022_Multiple,Plasma,0.9456907752273711,0.9667079865415265,0.9992619026191748,0.9703042413865289
Airway ciliated@Melms_2021_Lung,Ciliated,0.9937290969899666,0.9191802010827533,0.9999115096432226,0.970234570639635
Airway ciliated@Habermann_2020_Lung|COVID-19,Ciliated,0.9936467598475223,0.9174814235432147,0.9999274508767336,0.9696148625616808
Mast@Gur_2022_Skin|Scleroderma,Mast&Basophil,0.939203354297694,0.9718004338394793,0.997007973286898,0.9690476179738804
plasma cells@Quah_2023_Cancer|HNSCC,Plasma,0.9710610932475884,0.9337455830388692,0.9997281272742392,0.9678001279049891
AT2@Sikkema_2023_Lung,Ductal|AT2,0.9859512608051572,0.933637526783925,0.9823221418494849,0.9670061285386431
basal cell@Kumar_2023_Breast_scRNA,Squamous|Myoepithelial,0.9995402433775482,0.986626885271228,0.9160179332159706,0.9666866819663799
kidney epithelial cell@TabulaSapiens_2022_Multiple,Ductal|Proximal-tubule,0.9632697155203457,0.9856300663227708,0.9459307755826324,0.9648069020307455
Erythroid@Dominguez-Conde_2022_Multiple,Erythroid,0.9775280898876404,0.9753363228699552,0.937886279153344,0.9634102787129599
Ery@Park_2020_Thymus,Erythroid,0.9953416149068323,0.9002808988764045,0.9950140708424754,0.9624831610212459
Neutrophil@Fan_2023_Cancer|CC,Neutrophil,0.9904306220095693,0.9423368740515933,0.9549791487954566,0.9623684527995676
Neutrophil-FCGR3B@Fan_2023_Cancer|CC,Neutrophil,0.9904306220095693,0.9423368740515933,0.9549791487954566,0.9623684527995676
pDC@Wang_2023_Cancer|CRC,Dendritic_plasmacytoid,0.8987951807228916,0.9920212765957447,0.999532711833542,0.9623349186984113
type ii pneumocyte@TabulaSapiens_2022_Multiple,Ductal|AT2,0.998906625847365,0.9133260021993402,0.9758996548033166,0.9620226415718552
Mature arterial EC@Elmentaite_2021_Intestine,Endothelial|Arterial,0.9607843137254902,0.9553208773354996,0.9677984813304829,0.9612876651805171
enucleated reticulocyte@COMBAT_2022_Blood|COVID-19,Erythroid,0.9177631578947368,0.9653979238754326,0.998859941394726,0.9600942282140452
B_plasma@Perez_2022_Blood|SLE,Plasma,0.9800166527893422,0.9019157088122606,0.9984144671459864,0.9591873090202897
NK cells@Sikkema_2023_Lung,T&NK|NK_CD16,0.9368005654376251,0.945825404376784,0.9929342799443862,0.9582074455894841
Mast cells@Quah_2023_Cancer|HNSCC,Mast&Basophil,0.9947368421052631,0.883177570093458,0.9988677737552808,0.9573882180882299
mast@Szabo_2021_Blood|COVID-19,Mast&Basophil,0.9793510324483776,0.907103825136612,0.9867270638837676,0.957041582817778
mast@Szabo_2021_Airway|COVID-19,Mast&Basophil,0.9793510324483776,0.907103825136612,0.9867270638837676,0.957041582817778
cDC1@Hao_2021_Blood,Dendritic_classical|DC1,0.9710982658959537,0.9032258064516129,0.9983505254117546,0.9567111944186767
vascular associated smooth muscle cell@Kumar_2023_Breast_scRNA,Mural|RERGL,0.9707103981667144,0.9289973271194572,0.9701496185392732,0.9564177359992413
Pericytes@Sikkema_2023_Lung,Mural|LAMC3,0.9868073878627969,0.95744,0.9255851794446418,0.9562837676048204
Stem cells@Zhu_2020_Blood|COVID-19,Hematopoietic,0.93125,0.9430379746835443,0.9951184168680208,0.9560708500150844
Plasma@Ren_2021_Blood|COVID-19,Plasma,0.9658451239920889,0.9040227839088644,0.9998432534452912,0.9557396334035618
Plasmacytoid DCs@Sikkema_2023_Lung,Dendritic_plasmacytoid,0.9384057971014492,0.9299820466786356,0.9988965818301836,0.9552753937151973
Lymphatic endothelial@Reed_2024_Breast,Endothelial|Lymphatic_LYVE1,0.9673596975865077,0.9615579160343956,0.9371612485177264,0.9552695178437014
